name,symbol,contract,market_cap_usd,volume_24h_usd,label,reliability,risk,rationale
Lido DAO,LDO,0x5A98FcBEA516Cf0685f6cE4aA9A9714d065Da7A7,250000000.0,8000000.0,investable,0.8,0.2,"Lido DAO (LDO) is a well-established token in the DeFi space, backed by a strong community and project. It has a significant market capitalization and trading volume, indicating liquidity and investor interest. However, the lack of holder data might suggest limited transparency or a small active user base."
Rocket Pool,RPL,0xD33526068D116cE69F19A9ee46F0bd304f21A51f,200000000.0,6000000.0,investable,0.7,0.3,"Rocket Pool (RPL) has a substantial market capitalization and fair market value, indicating some level of investor interest and project stability. However, the lack of holders (holders_estimate: 0) suggests limited liquidity and potential for manipulation or pump-and-dump schemes."
SushiSwap,SUSHI,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2,150000000.0,4000000.0,investable,0.8,0.2,"SushiSwap (SUSHI) is a well-known decentralized finance (DeFi) token with a significant market capitalization and trading volume. However, the lack of holders suggests potential issues with liquidity or adoption."
PancakeSwap Token,CAKE,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,120000000.0,3000000.0,investable,0.8,0.2,"The PancakeSwap Token (CAKE) has a significant market capitalization and fair market value, indicating substantial liquidity and investor interest. However, the lack of holder data suggests limited transparency regarding the distribution of tokens."
1inch,1INCH,0x111111111117dC0aa78b770fA6A738034120C302,100000000.0,2500000.0,investable,0.8,0.2,"1inch (1INCH) is a well-known decentralized exchange aggregator with a significant market capitalization and trading volume. The token has a substantial market presence, which suggests some level of reliability. However, the lack of holder data might indicate limited transparency or early-stage activity."
Frax,FRAX,0x853d955aCEf822Db058eb8505911ED77F175F99E,80000000.0,2000000.0,investable,0.8,0.2,"Frax (FRAX) is a stablecoin with a market capitalization and FDV of $80 million, indicating some level of investor interest and project backing. The 24-hour trading volume of $2 million suggests moderate liquidity. However, the lack of holder data might indicate a relatively new or less transparent project, which introduces some risk."
GMX,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,60000000.0,1500000.0,investable,0.8,0.2,"GMX is a well-known token in the DeFi space, backed by a substantial market capitalization and trading volume. However, the lack of holders suggests potential issues with liquidity or adoption."
dYdX,DYDX,0x92D6C1e31e14520e676a687F0a93788B716BEff5,50000000.0,1200000.0,investable,0.8,0.2,"dYdX is a well-known decentralized exchange token with a substantial market capitalization and trading volume. However, the lack of holders suggests potential issues with liquidity or adoption."
Compound,COMP,0xc00e94Cb662C3520282E6f5717214004A7f26888,40000000.0,1000000.0,investable,0.9,0.1,"Compound (COMP) is a well-known and established decentralized finance token with a significant market capitalization and trading volume. The token has a large number of holders, indicating widespread adoption and trust in the platform. However, the 'holders_estimate' being 0 might indicate data issues or a very recent token, which slightly increases the risk."
RenVM,REN,0x408e41876cCdc0F92210600ef50372656052a445,30000000.0,800000.0,avoid,0.2,0.8,"The RenVM token has no holders as indicated by the onchain sample, which suggests it may be a scam or in an early development stage without active adoption. Additionally, the low market cap and trading volume indicate limited liquidity and potential for price manipulation."
